unit,sector,na_item,geo\time	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
PC_GDP,S13,P1,AT	21.3 	21.1 	20.5 	20.4 	20.4 	20.1 	20.2 	20.0 	19.8 	19.6 	19.8 	21.5 
PC_GDP,S13,P1,BE	19.0 	18.6 	18.8 	19.0 	19.1 	19.4 	18.8 	18.6 	18.5 	18.5 	18.5 	19.9 
PC_GDP,S13,P1,BG	18.0 	17.8 	17.0 	16.8 	18.0 	17.7 	17.4 	16.5 	16.8 	17.0 	17.2 	19.1 
PC_GDP,S13,P1,CH	14.4 	14.2 	14.3 	14.5 	14.6 	14.7 	14.8 	14.8 	14.8 	14.5 	14.6 	: 
PC_GDP,S13,P1,CY	21.2 	21.1 	21.6 	21.5 	21.3 	19.9 	19.6 	18.3 	18.1 	18.0 	19.4 	20.6 
PC_GDP,S13,P1,CZ	21.1 	21.0 	20.3 	19.9 	20.1 	19.6 	19.2 	19.2 	19.0 	19.7 	19.9 	21.5 
PC_GDP,S13,P1,DE	15.1 	14.9 	14.7 	14.9 	15.0 	14.9 	14.9 	14.9 	14.9 	15.0 	15.3 	16.9 p
PC_GDP,S13,P1,DK	30.1 	29.6 	28.8 	28.8 	28.4 	28.1 	27.7 	27.1 	26.5 	26.4 	26.0 	26.9 
PC_GDP,S13,P1,EA19	19.3 	19.2 	18.9 	18.9 	18.9 	18.7 	18.4 	18.3 	18.1 	18.0 	18.0 	19.7 
PC_GDP,S13,P1,EE	22.3 	21.3 	20.0 	19.6 	20.2 	20.4 	21.1 	21.2 	20.9 	20.7 	20.9 	22.3 
PC_GDP,S13,P1,EL	23.1 	22.2 	21.5 	22.1 	21.0 	21.2 	21.1 	21.5 	21.2 	20.6 	20.3 	22.7 
PC_GDP,S13,P1,ES	19.9 	19.9 	20.0 	19.6 	19.5 	19.3 	19.1 	18.7 	18.2 	18.2 	18.4 	21.2 
PC_GDP,S13,P1,EU27_2020	19.9 	19.7 	19.4 	19.4 	19.4 	19.3 	18.9 	18.8 	18.6 	18.6 	18.6 	20.2 
PC_GDP,S13,P1,FI	28.1 	27.9 	27.7 	28.5 	29.0 	28.8 	28.5 	27.6 	26.7 	26.7 	26.8 	27.8 
PC_GDP,S13,P1,FR	22.0 	21.9 	21.7 	21.8 	22.0 	21.9 	21.6 	21.4 	21.4 	21.1 	20.8 p	22.5 p
